season,hour,holiday,workingday,weather,windspeed,casual,registered,count,temperature,humidity_values
1.0,0,0.0,0.0,1.0,0.0,3,13,16.0,0,0
1.0,1,0.0,0.0,1.0,0.0,8,32,40.0,0,0
1.0,2,0.0,0.0,1.0,0.0,5,27,32.0,0,0
1.0,3,0.0,0.0,1.0,0.0,3,10,13.0,0,0
1.0,4,0.0,0.0,1.0,0.0,0,1,1.0,0,0
1.0,5,0.0,0.0,2.0,0.0896,0,1,1.0,0,0
1.0,6,0.0,0.0,1.0,0.0,2,0,2.0,0,0
1.0,7,0.0,0.0,1.0,0.0,1,2,3.0,0,0
1.0,8,0.0,0.0,1.0,0.0,1,7,8.0,0,0
1.0,9,0.0,0.0,1.0,0.0,8,6,14.0,2,0
1.0,10,0.0,0.0,1.0,0.2537,12,24,36.0,2,0
1.0,11,0.0,0.0,1.0,0.2836,26,30,56.0,2,0
1.0,12,0.0,0.0,1.0,0.2836,29,55,84.0,2,0
1.0,13,0.0,0.0,2.0,0.2985,47,47,94.0,2,0
1.0,14,0.0,0.0,2.0,0.2836,35,71,106.0,2,0
1.0,15,0.0,0.0,2.0,0.2985,40,70,110.0,2,0
1.0,16,0.0,0.0,2.0,0.2985,41,52,93.0,2,0
1.0,17,0.0,0.0,2.0,0.2836,15,52,67.0,2,0
1.0,18,0.0,0.0,3.0,0.2537,9,26,35.0,2,0
1.0,19,0.0,0.0,3.0,0.2537,6,31,37.0,2,0
1.0,20,0.0,0.0,2.0,0.2537,11,25,36.0,2,0
1.0,21,0.0,0.0,2.0,0.194,3,31,34.0,2,0
1.0,22,0.0,0.0,2.0,0.2239,11,17,28.0,2,3
1.0,23,0.0,0.0,2.0,0.2985,15,24,39.0,2,0
1.0,0,0.0,0.0,2.0,0.2985,4,13,17.0,2,0
1.0,1,0.0,0.0,2.0,0.2537,1,16,17.0,2,3
1.0,2,0.0,0.0,2.0,0.2836,1,8,9.0,2,3
1.0,3,0.0,0.0,2.0,0.194,2,4,6.0,2,3
1.0,4,0.0,0.0,2.0,0.194,2,1,3.0,2,3
1.0,6,0.0,0.0,3.0,0.2985,0,2,2.0,2,0
1.0,7,0.0,0.0,2.0,0.194,0,1,1.0,2,0
1.0,8,0.0,0.0,3.0,0.2239,0,8,8.0,2,0
1.0,9,0.0,0.0,2.0,0.2239,1,19,20.0,2,0
1.0,10,0.0,0.0,2.0,0.2239,7,46,53.0,2,0
1.0,11,0.0,0.0,2.0,0.2537,16,54,70.0,2,0
1.0,12,0.0,0.0,2.0,0.2985,20,73,93.0,2,0
1.0,13,0.0,0.0,2.0,0.1343,11,64,75.0,2,0
1.0,14,0.0,0.0,3.0,0.194,4,55,59.0,2,0
1.0,15,0.0,0.0,3.0,0.1642,19,55,74.0,2,0
1.0,16,0.0,0.0,3.0,0.1642,9,67,76.0,2,0
1.0,17,0.0,0.0,1.0,0.194,7,58,65.0,2,2
1.0,18,0.0,0.0,2.0,0.3284,10,43,53.0,2,2
